"","Spell","Rune"
"4603","Spirit Walk","Jaunt"
"4604","Fetish Army","Legion of Daggers"
"4605","Big Bad Voodoo","Slam Dance"
"4606","Summon Zombie Dogs","Rabid Dogs"
"4607","Pierce the Veil","Passive"
"4608","Fetish Sycophants","Passive"
"4609","Midnight Feast","Passive"
"4610","Fierce Loyalty","Passive"
"4611","Fetish Army","Legion of Daggers"
"4612","Big Bad Voodoo","Slam Dance"
"4613","Piranhas","Piranhado"
"4614","Mass Confusion","Paranoia"
"4615","Spirit Walk","Jaunt"
"4616","Horrify","Face of Death"
"4617","Creeping Death","Passive"
"4618","Spirit Vessel","Passive"
"4619","Tribal Rites","Passive"
"4620","Jungle Fortitude","Passive"
"4621","Haunt","Resentful Spirits"
"4622","Locust Swarm","Pestilence"
"4623","Piranhas","Piranhado"
"4624","Horrify","Face of Death"
"4625","Spirit Walk","Jaunt"
"4626","Soul Harvest","Siphon"
"4627","Spirit Vessel","Passive"
"4628","Grave Injustice","Passive"
"4629","Creeping Death","Passive"
"4630","Pierce the Veil","Passive"
"4631","Haunt","Resentful Spirits"
"4632","Spirit Walk","Jaunt"
"4633","Piranhas","Piranhado"
"4634","Soul Harvest","Siphon"
"4635","Locust Swarm","Pestilence"
"4636","Horrify","Face of Death"
"4637","Spirit Vessel","Passive"
"4638","Pierce the Veil","Passive"
"4639","Grave Injustice","Passive"
"4640","Creeping Death","Passive"
"4641","Summon Zombie Dogs","Leeching Beasts"
"4642","Piranhas","Piranhado"
"4643","Wall of Zombies","Barricade"
"4644","Spirit Walk","Honored Guest"
"4645","Locust Swarm","Pestilence"
"4646","Haunt","Resentful Spirits"
"4647","Grave Injustice","Passive"
"4648","Blood Ritual","Passive"
"4649","Rush of Essence","Passive"
"4650","Creeping Death","Passive"
"4651","Haunt","Resentful Spirits"
"4652","Locust Swarm","Pestilence"
"4653","Spirit Walk","Jaunt"
"4654","Soul Harvest","Siphon"
"4655","Piranhas","Piranhado"
"4656","Horrify","Frightening Aspect"
"4657","Pierce the Veil","Passive"
"4658","Creeping Death","Passive"
"4659","Grave Injustice","Passive"
"4660","Spirit Vessel","Passive"
"4661","Plague of Toads","Rain of Toads"
"4662","Horrify","Face of Death"
"4663","Sacrifice","Provoke the Pack"
"4664","Spirit Walk","Jaunt"
"4665","Big Bad Voodoo","Slam Dance"
