"","Spell","Rune"
"1322","Battle Rage","Swords to Ploughshares"
"1323","Sprint","Forced March"
"1324","Threatening Shout","Grim Harvest"
"1325","Ignore Pain","Iron Hide"
"1326","War Cry","Impunity"
"1327","Superstition","Passive"
"1328","Weapons Master","Passive"
"1329","Inspiring Presence","Passive"
"1330","Nerves of Steel","Passive"
"1331","Frenzy","Maniac"
"1332","Whirlwind","Wind Shear"
"1333","Call of the Ancients","Together as One"
"1334","Overpower","Killing Spree"
"1335","War Cry","Impunity"
"1336","Wrath of the Berserker","Insanity"
"1337","Superstition","Passive"
"1338","Berserker Rage","Passive"
"1339","Brawler","Passive"
"1340","Rampage","Passive"
"1341","Cleave","Rupture"
"1342","Rend","Leap"
"1343","Overpower","Ruthless"
"1344",NA,NA
"1345",NA,NA
"1346",NA,NA
"1347",NA,"Passive"
"1348",NA,"Passive"
"1349",NA,"Passive"
"1350",NA,"Passive"
"1351","Whirlwind","Blood Funnel"
"1352","Leap","Call of Arreat"
"1353","War Cry","Impunity"
"1354","Call of the Ancients","Together as One"
"1355","Wrath of the Berserker","Striding Giant"
"1356","Earthquake","Chilling Earth"
"1357","Rampage","Passive"
"1358","Brawler","Passive"
"1359","Boon of Bul-Kathos","Passive"
"1360","Ruthless","Passive"
"1361","Call of the Ancients","Together as One"
