"","Spell","Rune"
"1641","Haunt","Resentful Spirits"
"1642","Piranhas","Piranhado"
"1643","Spirit Walk","Jaunt"
"1644","Horrify","Ruthless Terror"
"1645","Locust Swarm","Pestilence"
"1646","Soul Harvest","Siphon"
"1647","Creeping Death","Passive"
"1648","Spirit Vessel","Passive"
"1649","Grave Injustice","Passive"
"1650","Pierce the Veil","Passive"
"1651","Haunt","Resentful Spirits"
"1652","Locust Swarm","Pestilence"
"1653","Spirit Walk","Jaunt"
"1654","Piranhas","Piranhado"
"1655","Soul Harvest","Siphon"
"1656","Horrify","Frightening Aspect"
"1657","Creeping Death","Passive"
"1658","Spirit Vessel","Passive"
"1659","Pierce the Veil","Passive"
"1660","Grave Injustice","Passive"
"1661","Haunt","Poisoned Spirit"
"1662","Locust Swarm","Pestilence"
"1663","Horrify","Frightening Aspect"
"1664","Spirit Walk","Jaunt"
"1665","Soul Harvest","Swallow Your Soul"
"1666","Piranhas","Piranhado"
"1667","Pierce the Veil","Passive"
"1668","Grave Injustice","Passive"
"1669","Spirit Vessel","Passive"
"1670","Creeping Death","Passive"
"1671","Plague of Toads","Rain of Toads"
"1672","Summon Zombie Dogs","Rabid Dogs"
"1673","Fetish Army","Legion of Daggers"
"1674","Piranhas","Piranhado"
"1675","Spirit Walk","Jaunt"
"1676","Big Bad Voodoo","Slam Dance"
"1677","Fetish Sycophants","Passive"
"1678","Fierce Loyalty","Passive"
"1679","Grave Injustice","Passive"
"1680","Pierce the Veil","Passive"
"1681","Plague of Toads","Rain of Toads"
"1682","Haunt","Poisoned Spirit"
"1683","Spirit Walk","Jaunt"
"1684","Fetish Army","Legion of Daggers"
"1685","Summon Zombie Dogs","Rabid Dogs"
"1686","Big Bad Voodoo","Slam Dance"
"1687","Pierce the Veil","Passive"
"1688","Fetish Sycophants","Passive"
"1689","Spirit Vessel","Passive"
"1690","Gruesome Feast","Passive"
"1691","Plague of Toads","Rain of Toads"
"1692","Piranhas","Piranhado"
"1693","Spirit Walk","Jaunt"
"1694","Horrify","Face of Death"
"1695","Big Bad Voodoo","Slam Dance"
"1696","Fetish Army","Legion of Daggers"
"1697","Bad Medicine","Passive"
"1698","Pierce the Veil","Passive"
"1699","Grave Injustice","Passive"
"1700","Fetish Sycophants","Passive"
"1701","Mass Confusion","Paranoia"
"1702","Haunt","Poisoned Spirit"
"1703","Spirit Walk","Jaunt"
"1704","Piranhas","Piranhado"
"1705","Horrify","Face of Death"
"1706","Big Bad Voodoo","Slam Dance"
"1707","Spirit Vessel","Passive"
"1708","Creeping Death","Passive"
"1709","Grave Injustice","Passive"
"1710","Fetish Sycophants","Passive"
"1711","Plague of Toads","Rain of Toads"
"1712","Sacrifice","Provoke the Pack"
"1713","Spirit Walk","Jaunt"
"1714","Fetish Army","Legion of Daggers"
"1715","Horrify","Face of Death"
"1716","Big Bad Voodoo","Slam Dance"
"1717","Pierce the Veil","Passive"
"1718","Spirit Vessel","Passive"
